 Time [s]      X [km]         Y [km]         Z [km]
 518400    2796.757591    -24539.099422    9193.391455
 519300    3408.988546    -25254.097486    6538.815211
 520200    3898.956317    -25702.413269    3768.485109
 521100    4296.282258    -25861.792438     931.146779
 522000    4634.193033    -25718.223437   -1922.793715
 522900    4947.978737    -25266.607381   -4742.246682
 523800    5273.346337    -24511.073516   -7476.458431
 524700    5644.741462    -23464.918866  -10076.045706
 525600    6093.715244    -22150.168913  -12494.014862
 526500    6647.411954    -20596.774963  -14686.735083
 527400    7327.248263    -18841.482556  -16614.836022
 528300    8147.845466    -16926.421908  -18244.003034
 529200    9116.263264    -14897.485293  -19545.647316
 530100   10231.568251    -12802.566208  -20497.433787
 531000   11484.753076    -10689.740728  -21083.655473
